"issue.date","song","artist","year"
"October 1","""Don't Worry, Be Happy""","Bobby McFerrin",1988
"October 8","""Love Bites""","Def Leppard",1988
"October 15","""Red Red Wine""","UB40",1988
"October 22","""A Groovy Kind of Love""","Phil Collins",1988
"October 29","""A Groovy Kind of Love""","Phil Collins",1988
"November 5","""Kokomo""","The Beach Boys",1988
"November 12","""Wild, Wild West""","The Escape Club",1988
"November 19","""Bad Medicine""","Bon Jovi",1988
"November 26","""Bad Medicine""","Bon Jovi",1988
"December 3","""Baby, I Love Your Way/Freebird Medley""","Will to Power",1988
"December 10","""Look Away""","Chicago",1988
"December 17","""Look Away""","Chicago",1988
"December 24","""Every Rose Has Its Thorn""","Poison",1988
"December 31","""Every Rose Has Its Thorn""","Poison",1988
"January 7","""Every Rose Has Its Thorn""","Poison",1989
"January 14","""My Prerogative""","Bobby Brown",1989
"January 21","""Two Hearts""","Phil Collins",1989
"January 28","""Two Hearts""","Phil Collins",1989
"February 4","""When I'm with You""","Sheriff",1989
"February 11","""Straight Up""","Paula Abdul",1989
"February 18","""Straight Up""","Paula Abdul",1989
"February 25","""Straight Up""","Paula Abdul",1989
"March 4","""Lost in Your Eyes""","Debbie Gibson",1989
"March 11","""Lost in Your Eyes""","Debbie Gibson",1989
"March 18","""Lost in Your Eyes""","Debbie Gibson",1989
"March 25","""The Living Years""","Mike + The Mechanics",1989
"April 1","""Eternal Flame""","The Bangles",1989
"April 8","""The Look""","Roxette",1989
"April 15","""She Drives Me Crazy""","Fine Young Cannibals",1989
"April 22","""Like a Prayer""","Madonna",1989
"April 29","""Like a Prayer""","Madonna",1989
"May 6","""Like a Prayer""","Madonna",1989
"May 13","""I'll Be There for You""","Bon Jovi",1989
"May 20","""Forever Your Girl""","Paula Abdul",1989
"May 27","""Forever Your Girl""","Paula Abdul",1989
"June 3","""Rock On""","Michael Damian",1989
"June 10","""Wind Beneath My Wings""","Bette Midler",1989
"June 17","""I'll Be Loving You (Forever)""","New Kids on the Block",1989
"June 24","""Satisfied""","Richard Marx",1989
"July 1","""Baby Don't Forget My Number""","Milli Vanilli",1989
"July 8","""Good Thing""","Fine Young Cannibals",1989
"July 15","""If You Don't Know Me By Now""","Simply Red",1989
"July 22","""Toy Soldiers""","Martika",1989
"July 29","""Toy Soldiers""","Martika",1989
"August 5","""Batdance""","Prince",1989
"August 12","""Right Here Waiting""","Richard Marx",1989
"August 19","""Right Here Waiting""","Richard Marx",1989
"August 26","""Right Here Waiting""","Richard Marx",1989
"September 2","""Cold Hearted""","Paula Abdul",1989
"September 9","""Hangin' Tough""","New Kids On the Block",1989
"September 16","""Don't Wanna Lose You""","Gloria Estefan",1989
"September 23","""Girl I'm Gonna Miss You""","Milli Vanilli",1989
"September 30","""Girl I'm Gonna Miss You""","Milli Vanilli",1989
"October 7","""Miss You Much""","Janet Jackson",1989
"October 14","""Miss You Much""","Janet Jackson",1989
"October 21","""Miss You Much""","Janet Jackson",1989
"October 28","""Miss You Much""","Janet Jackson",1989
"November 4","""Listen to Your Heart""","Roxette",1989
"November 11","""When I See You Smile""","Bad English",1989
"November 18","""When I See You Smile""","Bad English",1989
"November 25","""Blame It on the Rain""","Milli Vanilli",1989
"December 2","""Blame It on the Rain""","Milli Vanilli",1989
"December 9","""We Didn't Start the Fire""","Billy Joel",1989
"December 16","""We Didn't Start the Fire""","Billy Joel",1989
"December 23","""Another Day in Paradise""","Phil Collins",1989
"December 30","""Another Day in Paradise""","Phil Collins",1989
"January 6","""Another Day in Paradise""","Phil Collins",1990
"January 13","""Another Day in Paradise""","Phil Collins",1990
"January 20","""How Am I Supposed to Live Without You""","Michael Bolton",1990
"January 27","""How Am I Supposed to Live Without You""","Michael Bolton",1990
"February 3","""How Am I Supposed to Live Without You""","Michael Bolton",1990
"February 10","""Opposites Attract""","Paula Abdul with The Wild Pair",1990
"February 17","""Opposites Attract""","Paula Abdul with The Wild Pair",1990
"February 24","""Opposites Attract""","Paula Abdul with The Wild Pair",1990
"March 3","""Escapade""","Janet Jackson",1990
"March 10","""Escapade""","Janet Jackson",1990
"March 17","""Escapade""","Janet Jackson",1990
"March 24","""Black Velvet""","Alannah Myles",1990
"March 31","""Black Velvet""","Alannah Myles",1990
"April 7","""Love Will Lead You Back""","Taylor Dayne",1990
"April 14","""I'll Be Your Everything""","Tommy Page",1990
"April 21","""Nothing Compares 2 U""","Sinéad O'Connor",1990
"April 28","""Nothing Compares 2 U""","Sinéad O'Connor",1990
"May 5","""Nothing Compares 2 U""","Sinéad O'Connor",1990
"May 12","""Nothing Compares 2 U""","Sinéad O'Connor",1990
"May 19","""Vogue""","Madonna",1990
"May 26","""Vogue""","Madonna",1990
"June 2","""Vogue""","Madonna",1990
"June 9","""Hold On""","Wilson Phillips",1990
"June 16","""It Must Have Been Love""","Roxette",1990
"June 23","""It Must Have Been Love""","Roxette",1990
"June 30","""Step by Step""","New Kids on the Block",1990
"July 7","""Step by Step""","New Kids on the Block",1990
"July 14","""Step by Step""","New Kids on the Block",1990
"July 21","""She Ain't Worth It""","Glenn Medeiros featuring Bobby Brown",1990
"July 28","""She Ain't Worth It""","Glenn Medeiros featuring Bobby Brown",1990
"August 4","""Vision of Love""","Mariah Carey",1990
"August 11","""Vision of Love""","Mariah Carey",1990
"August 18","""Vision of Love""","Mariah Carey",1990
"August 25","""Vision of Love""","Mariah Carey",1990
"September 1","""If Wishes Came True""","Sweet Sensation",1990
"September 8","""Blaze of Glory""","Jon Bon Jovi",1990
"September 15","""Release Me""","Wilson Phillips",1990
"September 22","""Release Me""","Wilson Phillips",1990
"September 29","""(Can't Live Without Your) Love and Affection""","Nelson",1990
"October 6","""Close to You""","Maxi Priest",1990
"October 13","""Praying for Time""","George Michael",1990
"October 20","""I Don't Have the Heart""","James Ingram",1990
"October 27","""Black Cat""","Janet Jackson",1990
"November 3","""Ice Ice Baby""","Vanilla Ice",1990
"November 10","""Love Takes Time""","Mariah Carey",1990
"November 17","""Love Takes Time""","Mariah Carey",1990
"November 24","""Love Takes Time""","Mariah Carey",1990
"December 1","""I'm Your Baby Tonight""","Whitney Houston",1990
"December 8","""Because I Love You (The Postman Song)""","Stevie B",1990
"December 15","""Because I Love You (The Postman Song)""","Stevie B",1990
"December 22","""Because I Love You (The Postman Song)""","Stevie B",1990
"December 29","""Because I Love You (The Postman Song)""","Stevie B",1990
"January 5","""Justify My Love""","Madonna",1991
"January 12","""Justify My Love""","Madonna",1991
"January 19","""Love Will Never Do (Without You)""","Janet Jackson",1991
"January 26","""The First Time""","Surface",1991
"February 2","""The First Time""","Surface",1991
"February 9","""Gonna Make You Sweat (Everybody Dance Now)""","C+C Music Factory featuring Freedom Williams",1991
"February 16","""Gonna Make You Sweat (Everybody Dance Now)""","C+C Music Factory featuring Freedom Williams",1991
"February 23","""All the Man That I Need""","Whitney Houston",1991
"March 2","""All the Man That I Need""","Whitney Houston",1991
"March 9","""Someday""","Mariah Carey",1991
"March 16","""Someday""","Mariah Carey",1991
"March 23","""One More Try""","Timmy T",1991
"March 30","""Coming Out of the Dark""","Gloria Estefan",1991
"April 6","""Coming Out of the Dark""","Gloria Estefan",1991
"April 13","""I've Been Thinking About You""","Londonbeat",1991
"April 20","""You're in Love""","Wilson Phillips",1991
"April 27","""Baby Baby""","Amy Grant",1991
"May 4","""Baby Baby""","Amy Grant",1991
"May 11","""Joyride""","Roxette",1991
"May 18","""I Like the Way (The Kissing Game)""","Hi-Five",1991
"May 25","""I Don't Wanna Cry""","Mariah Carey",1991
"June 1","""I Don't Wanna Cry""","Mariah Carey",1991
"June 8","""More Than Words""","Extreme",1991
"June 15","""Rush Rush""","Paula Abdul",1991
"June 22","""Rush Rush""","Paula Abdul",1991
"June 29","""Rush Rush""","Paula Abdul",1991
"July 6","""Rush Rush""","Paula Abdul",1991
"July 13","""Rush Rush""","Paula Abdul",1991
"July 20","""Unbelievable""","EMF",1991
"July 27","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"August 3","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"August 10","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"August 17","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"August 24","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"August 31","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"September 7","""(Everything I Do) I Do It for You""","Bryan Adams",1991
"September 14","""The Promise of a New Day""","Paula Abdul",1991
"September 21","""I Adore Mi Amor""","Color Me Badd",1991
"September 28","""I Adore Mi Amor""","Color Me Badd",1991
"October 5","""Good Vibrations""","Marky Mark and the Funky Bunch featuring Loleatta Holloway",1991
"October 12","""Emotions""","Mariah Carey",1991
"October 19","""Emotions""","Mariah Carey",1991
"October 26","""Emotions""","Mariah Carey",1991
"November 2","""Romantic""","Karyn White",1991
"November 9","""Cream""","Prince and the New Power Generation",1991
"November 16","""Cream""","Prince and the New Power Generation",1991
"November 23","""When a Man Loves a Woman""","Michael Bolton",1991
"November 30","""Set Adrift on Memory Bliss""","P.M. Dawn",1991
"December 7","""Black or White""","Michael Jackson",1991
"December 14","""Black or White""","Michael Jackson",1991
"December 21","""Black or White""","Michael Jackson",1991
"December 28","""Black or White""","Michael Jackson",1991
"January 4","""Black or White""","Michael Jackson",1992
"January 11","""Black or White""","Michael Jackson",1992
"January 18","""Black or White""","Michael Jackson",1992
"January 25","""All 4 Love""","Color Me Badd",1992
"February 1","""Don't Let the Sun Go Down on Me""","George Michael and Elton John",1992
"February 8","""I'm Too Sexy""","Right Said Fred",1992
"February 15","""I'm Too Sexy""","Right Said Fred",1992
"February 22","""I'm Too Sexy""","Right Said Fred",1992
"February 29","""To Be with You""","Mr. Big",1992
"March 7","""To Be with You""","Mr. Big",1992
"March 14","""To Be with You""","Mr. Big",1992
"March 21","""Save the Best for Last""","Vanessa Williams",1992
"March 28","""Save the Best for Last""","Vanessa Williams",1992
"April 4","""Save the Best for Last""","Vanessa Williams",1992
"April 11","""Save the Best for Last""","Vanessa Williams",1992
"April 18","""Save the Best for Last""","Vanessa Williams",1992
"April 25","""Jump""","Kris Kross",1992
"May 2","""Jump""","Kris Kross",1992
"May 9","""Jump""","Kris Kross",1992
"May 16","""Jump""","Kris Kross",1992
"May 23","""Jump""","Kris Kross",1992
"May 30","""Jump""","Kris Kross",1992
"June 6","""Jump""","Kris Kross",1992
"June 13","""Jump""","Kris Kross",1992
"June 20","""I'll Be There""","Mariah Carey featuring Trey Lorenz",1992
"June 27","""I'll Be There""","Mariah Carey featuring Trey Lorenz",1992
"July 4","""Baby Got Back""","Sir Mix-a-Lot",1992
"July 11","""Baby Got Back""","Sir Mix-a-Lot",1992
"July 18","""Baby Got Back""","Sir Mix-a-Lot",1992
"July 25","""Baby Got Back""","Sir Mix-a-Lot",1992
"August 1","""Baby Got Back""","Sir Mix-a-Lot",1992
"August 8","""This Used to Be My Playground""","Madonna",1992
"August 15","""End of the Road""","Boyz II Men",1992
"August 22","""End of the Road""","Boyz II Men",1992
"August 29","""End of the Road""","Boyz II Men",1992
"September 5","""End of the Road""","Boyz II Men",1992
"September 12","""End of the Road""","Boyz II Men",1992
"September 19","""End of the Road""","Boyz II Men",1992
"September 26","""End of the Road""","Boyz II Men",1992
"October 3","""End of the Road""","Boyz II Men",1992
"October 10","""End of the Road""","Boyz II Men",1992
"October 17","""End of the Road""","Boyz II Men",1992
"October 24","""End of the Road""","Boyz II Men",1992
"October 31","""End of the Road""","Boyz II Men",1992
"November 7","""End of the Road""","Boyz II Men",1992
"November 14","""How Do You Talk to an Angel""","The Heights",1992
"November 21","""How Do You Talk to an Angel""","The Heights",1992
"November 28","""I Will Always Love You""","Whitney Houston",1992
"December 5","""I Will Always Love You""","Whitney Houston",1992
"December 12","""I Will Always Love You""","Whitney Houston",1992
"December 19","""I Will Always Love You""","Whitney Houston",1992
"December 26","""I Will Always Love You""","Whitney Houston",1992
"January 2","""I Will Always Love You""","Whitney Houston",1993
"January 9","""I Will Always Love You""","Whitney Houston",1993
"January 16","""I Will Always Love You""","Whitney Houston",1993
"January 23","""I Will Always Love You""","Whitney Houston",1993
"January 30","""I Will Always Love You""","Whitney Houston",1993
"February 6","""I Will Always Love You""","Whitney Houston",1993
"February 13","""I Will Always Love You""","Whitney Houston",1993
"February 20","""I Will Always Love You""","Whitney Houston",1993
"February 27","""I Will Always Love You""","Whitney Houston",1993
"March 6","""A Whole New World""","Peabo Bryson and Regina Belle",1993
"March 13","""Informer""","Snow",1993
"March 20","""Informer""","Snow",1993
"March 27","""Informer""","Snow",1993
"April 3","""Informer""","Snow",1993
"April 10","""Informer""","Snow",1993
"April 17","""Informer""","Snow",1993
"April 24","""Informer""","Snow",1993
"May 1","""Freak Me""","Silk",1993
"May 8","""Freak Me""","Silk",1993
"May 15","""That's the Way Love Goes""","Janet Jackson",1993
"May 22","""That's the Way Love Goes""","Janet Jackson",1993
"May 29","""That's the Way Love Goes""","Janet Jackson",1993
"June 5","""That's the Way Love Goes""","Janet Jackson",1993
"June 12","""That's the Way Love Goes""","Janet Jackson",1993
"June 19","""That's the Way Love Goes""","Janet Jackson",1993
"June 26","""That's the Way Love Goes""","Janet Jackson",1993
"July 3","""That's the Way Love Goes""","Janet Jackson",1993
"July 10","""Weak""","SWV",1993
"July 17","""Weak""","SWV",1993
"July 24","""Can't Help Falling in Love""","UB40",1993
"July 31","""Can't Help Falling in Love""","UB40",1993
"August 7","""Can't Help Falling in Love""","UB40",1993
"August 14","""Can't Help Falling in Love""","UB40",1993
"August 21","""Can't Help Falling in Love""","UB40",1993
"August 28","""Can't Help Falling in Love""","UB40",1993
"September 4","""Can't Help Falling in Love""","UB40",1993
"September 11","""Dreamlover""","Mariah Carey",1993
"September 18","""Dreamlover""","Mariah Carey",1993
"September 25","""Dreamlover""","Mariah Carey",1993
"October 2","""Dreamlover""","Mariah Carey",1993
"October 9","""Dreamlover""","Mariah Carey",1993
"October 16","""Dreamlover""","Mariah Carey",1993
"October 23","""Dreamlover""","Mariah Carey",1993
"October 30","""Dreamlover""","Mariah Carey",1993
"November 6","""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf",1993
"November 13","""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf",1993
"November 20","""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf",1993
"November 27","""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf",1993
"December 4","""I'd Do Anything for Love (But I Won't Do That)""","Meat Loaf",1993
"December 11","""Again""","Janet Jackson",1993
"December 18","""Again""","Janet Jackson",1993
"December 25","""Hero""","Mariah Carey",1993
"January 1","""Hero""","Mariah Carey",1994
"January 8","""Hero""","Mariah Carey",1994
"January 15","""Hero""","Mariah Carey",1994
"January 22","""All for Love""","Bryan Adams / Rod Stewart / Sting",1994
"January 29","""All for Love""","Bryan Adams / Rod Stewart / Sting",1994
"February 5","""All for Love""","Bryan Adams / Rod Stewart / Sting",1994
"February 12","""The Power of Love""","Céline Dion",1994
"February 19","""The Power of Love""","Céline Dion",1994
"February 26","""The Power of Love""","Céline Dion",1994
"March 5","""The Power of Love""","Céline Dion",1994
"March 12","""The Sign""","Ace of Base",1994
"March 19","""The Sign""","Ace of Base",1994
"March 26","""The Sign""","Ace of Base",1994
"April 2","""The Sign""","Ace of Base",1994
"April 9","""Bump n' Grind""","R. Kelly",1994
"April 16","""Bump n' Grind""","R. Kelly",1994
"April 23","""Bump n' Grind""","R. Kelly",1994
"April 30","""Bump n' Grind""","R. Kelly",1994
"May 7","""The Sign""","Ace of Base",1994
"May 14","""The Sign""","Ace of Base",1994
"May 21","""I Swear""","All-4-One",1994
"May 28","""I Swear""","All-4-One",1994
"June 4","""I Swear""","All-4-One",1994
"June 11","""I Swear""","All-4-One",1994
"June 18","""I Swear""","All-4-One",1994
"June 25","""I Swear""","All-4-One",1994
"July 2","""I Swear""","All-4-One",1994
"July 9","""I Swear""","All-4-One",1994
"July 16","""I Swear""","All-4-One",1994
"July 23","""I Swear""","All-4-One",1994
"July 30","""I Swear""","All-4-One",1994
"August 6","""Stay (I Missed You)""","Lisa Loeb & Nine Stories",1994
"August 13","""Stay (I Missed You)""","Lisa Loeb & Nine Stories",1994
"August 20","""Stay (I Missed You)""","Lisa Loeb & Nine Stories",1994
"August 27","""I'll Make Love to You""","Boyz II Men",1994
"September 3","""I'll Make Love to You""","Boyz II Men",1994
"September 10","""I'll Make Love to You""","Boyz II Men",1994
"September 17","""I'll Make Love to You""","Boyz II Men",1994
"September 24","""I'll Make Love to You""","Boyz II Men",1994
"October 1","""I'll Make Love to You""","Boyz II Men",1994
"October 8","""I'll Make Love to You""","Boyz II Men",1994
"October 15","""I'll Make Love to You""","Boyz II Men",1994
"October 22","""I'll Make Love to You""","Boyz II Men",1994
"October 29","""I'll Make Love to You""","Boyz II Men",1994
"November 5","""I'll Make Love to You""","Boyz II Men",1994
"November 12","""I'll Make Love to You""","Boyz II Men",1994
"November 19","""I'll Make Love to You""","Boyz II Men",1994
"November 26","""I'll Make Love to You""","Boyz II Men",1994
"December 3","""On Bended Knee""","Boyz II Men",1994
"December 10","""On Bended Knee""","Boyz II Men",1994
"December 17","""Here Comes the Hotstepper""","Ini Kamoze",1994
"December 24","""Here Comes the Hotstepper""","Ini Kamoze",1994
"December 31","""On Bended Knee""","Boyz II Men",1994
"January 7","""On Bended Knee""","Boyz II Men",1995
"January 14","""On Bended Knee""","Boyz II Men",1995
"January 21","""On Bended Knee""","Boyz II Men",1995
"January 28","""Creep""","TLC",1995
"February 4","""Creep""","TLC",1995
"February 11","""Creep""","TLC",1995
"February 18","""Creep""","TLC",1995
"February 25","""Take a Bow""","Madonna",1995
"March 4","""Take a Bow""","Madonna",1995
"March 11","""Take a Bow""","Madonna",1995
"March 18","""Take a Bow""","Madonna",1995
"March 25","""Take a Bow""","Madonna",1995
"April 1","""Take a Bow""","Madonna",1995
"April 8","""Take a Bow""","Madonna",1995
"April 15","""This Is How We Do It""","Montell Jordan",1995
"April 22","""This Is How We Do It""","Montell Jordan",1995
"April 29","""This Is How We Do It""","Montell Jordan",1995
"May 6","""This Is How We Do It""","Montell Jordan",1995
"May 13","""This Is How We Do It""","Montell Jordan",1995
"May 20","""This Is How We Do It""","Montell Jordan",1995
"May 27","""This Is How We Do It""","Montell Jordan",1995
"June 3","""Have You Ever Really Loved a Woman?""","Bryan Adams",1995
"June 10","""Have You Ever Really Loved a Woman?""","Bryan Adams",1995
"June 17","""Have You Ever Really Loved a Woman?""","Bryan Adams",1995
"June 24","""Have You Ever Really Loved a Woman?""","Bryan Adams",1995
"July 1","""Have You Ever Really Loved a Woman?""","Bryan Adams",1995
"July 8","""Waterfalls""","TLC",1995
"July 15","""Waterfalls""","TLC",1995
"July 22","""Waterfalls""","TLC",1995
"July 29","""Waterfalls""","TLC",1995
"August 5","""Waterfalls""","TLC",1995
"August 12","""Waterfalls""","TLC",1995
"August 19","""Waterfalls""","TLC",1995
"August 26","""Kiss from a Rose""","Seal",1995
"September 2","""You Are Not Alone""","Michael Jackson",1995
"September 9","""Gangsta's Paradise""","Coolio featuring L.V.",1995
"September 16","""Gangsta's Paradise""","Coolio featuring L.V.",1995
"September 23","""Gangsta's Paradise""","Coolio featuring L.V.",1995
"September 30","""Fantasy""","Mariah Carey",1995
"October 7","""Fantasy""","Mariah Carey",1995
"October 14","""Fantasy""","Mariah Carey",1995
"October 21","""Fantasy""","Mariah Carey",1995
"October 28","""Fantasy""","Mariah Carey",1995
"November 4","""Fantasy""","Mariah Carey",1995
"November 11","""Fantasy""","Mariah Carey",1995
"November 18","""Fantasy""","Mariah Carey",1995
"November 25","""Exhale (Shoop Shoop)""","Whitney Houston",1995
"December 2","""One Sweet Day""","Mariah Carey and Boyz II Men",1995
"December 9","""One Sweet Day""","Mariah Carey and Boyz II Men",1995
"December 16","""One Sweet Day""","Mariah Carey and Boyz II Men",1995
"December 23","""One Sweet Day""","Mariah Carey and Boyz II Men",1995
"December 30","""One Sweet Day""","Mariah Carey and Boyz II Men",1995
"January 6","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"January 13","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"January 20","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"January 27","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"February 3","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"February 10","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"February 17","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"February 24","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"March 2","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"March 9","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"March 16","""One Sweet Day""","Mariah Carey and Boyz II Men",1996
"March 23","""Because You Loved Me""","Céline Dion",1996
"March 30","""Because You Loved Me""","Céline Dion",1996
"April 6","""Because You Loved Me""","Céline Dion",1996
"April 13","""Because You Loved Me""","Céline Dion",1996
"April 20","""Because You Loved Me""","Céline Dion",1996
"April 27","""Because You Loved Me""","Céline Dion",1996
"May 4","""Always Be My Baby""","Mariah Carey",1996
"May 11","""Always Be My Baby""","Mariah Carey",1996
"May 18","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"May 25","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"June 1","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"June 8","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"June 15","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"June 22","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"June 29","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"July 6","""Tha Crossroads""","Bone Thugs-n-Harmony",1996
"July 13","""How Do U Want It"" / ""California Love""","2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman",1996
"July 20","""How Do U Want It"" / ""California Love""","2Pac featuring K-Ci & JoJo / featuring Dr. Dre and Roger Troutman",1996
"July 27","""You're Makin' Me High"" / ""Let It Flow""","Toni Braxton",1996
"August 3","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"August 10","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"August 17","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"August 24","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"August 31","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"September 7","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"September 14","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"September 21","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"September 28","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"October 5","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"October 12","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"October 19","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"October 26","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"November 2","""Macarena"" (Bayside Boys Mix)","Los Del Rio",1996
"November 9","""No Diggity""","Blackstreet featuring Dr. Dre",1996
"November 16","""No Diggity""","Blackstreet featuring Dr. Dre",1996
"November 23","""No Diggity""","Blackstreet featuring Dr. Dre",1996
"November 30","""No Diggity""","Blackstreet featuring Dr. Dre",1996
"December 7","""Un-Break My Heart""","Toni Braxton",1996
"December 14","""Un-Break My Heart""","Toni Braxton",1996
"December 21","""Un-Break My Heart""","Toni Braxton",1996
"December 28","""Un-Break My Heart""","Toni Braxton",1996
"January 4","""Un-Break My Heart""","Toni Braxton",1997
"January 11","""Un-Break My Heart""","Toni Braxton",1997
"January 18","""Un-Break My Heart""","Toni Braxton",1997
"January 25","""Un-Break My Heart""","Toni Braxton",1997
"February 1","""Un-Break My Heart""","Toni Braxton",1997
"February 8","""Un-Break My Heart""","Toni Braxton",1997
"February 15","""Un-Break My Heart""","Toni Braxton",1997
"February 22","""Wannabe""","Spice Girls",1997
"March 1","""Wannabe""","Spice Girls",1997
"March 8","""Wannabe""","Spice Girls",1997
"March 15","""Wannabe""","Spice Girls",1997
"March 22","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"March 29","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"April 5","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"April 12","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"April 19","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"April 26","""Can't Nobody Hold Me Down""","Puff Daddy featuring Mase",1997
"May 3","""Hypnotize""","The Notorious B.I.G.",1997
"May 10","""Hypnotize""","The Notorious B.I.G.",1997
"May 17","""Hypnotize""","The Notorious B.I.G.",1997
"May 24","""MMMBop""","Hanson",1997
"May 31","""MMMBop""","Hanson",1997
"June 7","""MMMBop""","Hanson",1997
"June 14","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"June 21","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"June 28","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"July 5","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"July 12","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"July 19","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"July 26","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"August 2","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"August 9","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"August 16","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"August 23","""I'll Be Missing You""","Puff Daddy and Faith Evans featuring 112",1997
"August 30","""Mo Money Mo Problems""","The Notorious B.I.G. featuring Puff Daddy and Mase",1997
"September 6","""Mo Money Mo Problems""","The Notorious B.I.G. featuring Puff Daddy and Mase",1997
"September 13","""Honey""","Mariah Carey",1997
"September 20","""Honey""","Mariah Carey",1997
"September 27","""Honey""","Mariah Carey",1997
"October 4","""4 Seasons of Loneliness""","Boyz II Men",1997
"October 11","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"October 18","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"October 25","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"November 1","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"November 8","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"November 15","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"November 22","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"November 29","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"December 6","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"December 13","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"December 20","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"December 27","""Candle in the Wind 1997"" /""Something About the Way You Look Tonight""","Elton John",1997
"January 3","""Something About the Way You Look Tonight"" / ""Candle in the Wind 1997""","Elton John",1998
"January 10","""Something About the Way You Look Tonight"" / ""Candle in the Wind 1997""","Elton John",1998
"January 17","""Truly Madly Deeply""","Savage Garden",1998
"January 24","""Truly Madly Deeply""","Savage Garden",1998
"January 31","""Together Again""","Janet",1998
"February 7","""Together Again""","Janet",1998
"February 14","""Nice & Slow""","Usher",1998
"February 21","""Nice & Slow""","Usher",1998
"February 28","""My Heart Will Go On""","Céline Dion",1998
"March 7","""My Heart Will Go On""","Céline Dion",1998
