"issue.date","song","artist","year"
"April 18","""Theme from A Summer Place""","Percy Faith",1960
"April 25","""Stuck on You""","Elvis Presley",1960
"May 2","""Stuck on You""","Elvis Presley",1960
"May 9","""Stuck on You""","Elvis Presley",1960
"May 16","""Stuck on You""","Elvis Presley",1960
"May 23","""Cathy's Clown""","The Everly Brothers",1960
"May 30","""Cathy's Clown""","The Everly Brothers",1960
"June 6","""Cathy's Clown""","The Everly Brothers",1960
"June 13","""Cathy's Clown""","The Everly Brothers",1960
"June 20","""Cathy's Clown""","The Everly Brothers",1960
"June 27","""Everybody's Somebody's Fool""","Connie Francis",1960
"July 4","""Everybody's Somebody's Fool""","Connie Francis",1960
"July 11","""Alley Oop""","Hollywood Argyles",1960
"July 18","""I'm Sorry""","Brenda Lee",1960
"July 25","""I'm Sorry""","Brenda Lee",1960
"August 1","""I'm Sorry""","Brenda Lee",1960
"August 8","""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""","Brian Hyland",1960
"August 15","""It's Now or Never""","Elvis Presley",1960
"August 22","""It's Now or Never""","Elvis Presley",1960
"August 29","""It's Now or Never""","Elvis Presley",1960
"September 5","""It's Now or Never""","Elvis Presley",1960
"September 12","""It's Now or Never""","Elvis Presley",1960
"September 19","""The Twist""","Chubby Checker",1960
"September 26","""My Heart Has a Mind of Its Own""","Connie Francis",1960
"October 3","""My Heart Has a Mind of Its Own""","Connie Francis",1960
"October 10","""Mr. Custer""","Larry Verne",1960
"October 17","""Save the Last Dance for Me""","The Drifters",1960
"October 24","""I Want to Be Wanted""","Brenda Lee",1960
"October 31","""Save the Last Dance for Me""","The Drifters",1960
"November 7","""Save the Last Dance for Me""","The Drifters",1960
"November 14","""Georgia on My Mind""","Ray Charles",1960
"November 21","""Stay""","Maurice Williams and the Zodiacs",1960
"November 28","""Are You Lonesome Tonight?""","Elvis Presley",1960
"December 5","""Are You Lonesome Tonight?""","Elvis Presley",1960
"December 12","""Are You Lonesome Tonight?""","Elvis Presley",1960
"December 19","""Are You Lonesome Tonight?""","Elvis Presley",1960
"December 26","""Are You Lonesome Tonight?""","Elvis Presley",1960
"January 2","""Are You Lonesome Tonight?""","Elvis Presley",1961
"January 9","""Wonderland by Night""","Bert Kaempfert",1961
"January 16","""Wonderland by Night""","Bert Kaempfert",1961
"January 23","""Wonderland by Night""","Bert Kaempfert",1961
"January 30","""Will You Love Me Tomorrow""","The Shirelles",1961
"February 6","""Will You Love Me Tomorrow""","The Shirelles",1961
"February 13","""Calcutta""","Lawrence Welk",1961
"February 20","""Calcutta""","Lawrence Welk",1961
"February 27","""Pony Time""","Chubby Checker",1961
"March 6","""Pony Time""","Chubby Checker",1961
"March 13","""Pony Time""","Chubby Checker",1961
"March 20","""Surrender""","Elvis Presley",1961
"March 27","""Surrender""","Elvis Presley",1961
"April 3","""Blue Moon""","The Marcels",1961
"April 10","""Blue Moon""","The Marcels",1961
"April 17","""Blue Moon""","The Marcels",1961
"April 24","""Runaway""","Del Shannon",1961
"May 1","""Runaway""","Del Shannon",1961
"May 8","""Runaway""","Del Shannon",1961
"May 15","""Runaway""","Del Shannon",1961
